x:6.95965, V:145.913, Pressure:255216, iteration:1, T:402.897, f_new:997.807, dfdT:2210.65
x:6.96016, V:146.015, Pressure:255194, iteration:1, T:402.896, f_new:997.801, dfdT:2210.61
x:6.96066, V:146.117, Pressure:255173, iteration:1, T:402.895, f_new:997.797, dfdT:2210.58
x:6.96117, V:146.22, Pressure:255152, iteration:1, T:402.894, f_new:997.794, dfdT:2210.55
x:6.96167, V:146.322, Pressure:255131, iteration:1, T:402.893, f_new:997.793, dfdT:2210.52
x:6.96218, V:146.424, Pressure:255110, iteration:1, T:402.892, f_new:997.793, dfdT:2210.49
x:6.96268, V:146.526, Pressure:255089, iteration:1, T:402.891, f_new:997.795, dfdT:2210.46
x:6.96319, V:146.628, Pressure:255068, iteration:1, T:402.89, f_new:997.799, dfdT:2210.43
x:6.96369, V:146.731, Pressure:255047, iteration:1, T:402.889, f_new:997.804, dfdT:2210.4
x:6.9642, V:146.833, Pressure:255026, iteration:1, T:402.888, f_new:997.81, dfdT:2210.37
x:6.9647, V:146.934, Pressure:255005, iteration:1, T:402.887, f_new:997.796, dfdT:2210.34
x:6.9652, V:147.036, Pressure:254983, iteration:1, T:402.886, f_new:997.806, dfdT:2210.31
x:6.9657, V:147.137, Pressure:254962, iteration:1, T:402.885, f_new:997.795, dfdT:2210.28
x:6.96621, V:147.24, Pressure:254941, iteration:1, T:402.884, f_new:997.808, dfdT:2210.25
x:6.96671, V:147.341, Pressure:254920, iteration:1, T:402.883, f_new:997.801, dfdT:2210.22
x:6.96721, V:147.442, Pressure:254899, iteration:1, T:402.882, f_new:997.794, dfdT:2210.19
x:6.96771, V:147.545, Pressure:254878, iteration:1, T:402.881, f_new:997.812, dfdT:2210.16
x:6.96821, V:147.646, Pressure:254857, iteration:1, T:402.88, f_new:997.809, dfdT:2210.13
x:6.96871, V:147.747, Pressure:254836, iteration:1, T:402.879, f_new:997.807, dfdT:2210.09
x:6.96921, V:147.848, Pressure:254815, iteration:1, T:402.878, f_new:997.807, dfdT:2210.06
x:6.96971, V:147.95, Pressure:254793, iteration:1, T:402.877, f_new:997.809, dfdT:2210.03
x:6.97021, V:148.051, Pressure:254772, iteration:1, T:402.876, f_new:997.812, dfdT:2210
